unique_id,target,ra,dec,exptime,n_exp,n_intra_max,tau_intra,priority
S000,sphere_000,108.693861,33.223892,3957.8,1,1,0.0,10.0
S001,sphere_001,39.811828,23.249514,3957.8,1,1,0.0,10.0
S002,sphere_002,102.207038,31.485274,3957.8,1,1,0.0,10.0
S003,sphere_003,359.677703,-5.694724,3957.8,1,1,0.0,10.0
S004,sphere_004,239.646505,-14.975379,3957.8,1,1,0.0,10.0
S005,sphere_005,234.045006,58.597711,3957.8,1,1,0.0,10.0
S006,sphere_006,32.558662,16.722118,3957.8,1,1,0.0,10.0
S007,sphere_007,10.439821,-6.498177,3957.8,1,1,0.0,10.0
S008,sphere_008,86.698101,-33.060381,3957.8,1,1,0.0,10.0
S009,sphere_009,51.487875,6.267447,3957.8,1,1,0.0,10.0
