unique_id,target,ra,dec,exptime,n_exp,n_intra_max,tau_intra,priority
S000,sphere_000,108.693861,33.223892,1963.9,1,1,0.0,10.0
S001,sphere_001,39.811828,23.249514,1963.9,1,1,0.0,10.0
S002,sphere_002,102.207038,31.485274,1963.9,1,1,0.0,10.0
S003,sphere_003,359.677703,-5.694724,1963.9,1,1,0.0,10.0
S004,sphere_004,239.646505,-14.975379,1963.9,1,1,0.0,10.0
S005,sphere_005,234.045006,58.597711,1963.9,1,1,0.0,10.0
S006,sphere_006,32.558662,16.722118,1963.9,1,1,0.0,10.0
S007,sphere_007,10.439821,-6.498177,1963.9,1,1,0.0,10.0
S008,sphere_008,86.698101,-33.060381,1963.9,1,1,0.0,10.0
S009,sphere_009,51.487875,6.267447,1963.9,1,1,0.0,10.0
S010,sphere_010,71.353522,40.939545,1963.9,1,1,0.0,10.0
S011,sphere_011,236.256854,31.076058,1963.9,1,1,0.0,10.0
S012,sphere_012,13.018576,-16.914724,1963.9,1,1,0.0,10.0
S013,sphere_013,1.95474,70.287342,1963.9,1,1,0.0,10.0
S014,sphere_014,18.59685,51.835717,1963.9,1,1,0.0,10.0
S015,sphere_015,218.133064,33.832507,1963.9,1,1,0.0,10.0
S016,sphere_016,85.879015,-3.816313,1963.9,1,1,0.0,10.0
S017,sphere_017,14.454468,-3.490806,1963.9,1,1,0.0,10.0
S018,sphere_018,72.64156,-38.393384,1963.9,1,1,0.0,10.0
S019,sphere_019,44.972525,-47.74479,1963.9,1,1,0.0,10.0
