unique_id,target,ra,dec,exptime,n_exp,n_intra_max,tau_intra,priority
S000,sphere_000,265.214048,33.223892,289.0,1,1,0.0,10.0
S001,sphere_001,181.307853,23.249514,289.0,1,1,0.0,10.0
S002,sphere_002,113.202249,31.485274,289.0,1,1,0.0,10.0
S003,sphere_003,177.890993,-48.053794,289.0,1,1,0.0,10.0
S004,sphere_004,41.708421,-5.694724,289.0,1,1,0.0,10.0
S005,sphere_005,25.941293,-14.975379,289.0,1,1,0.0,10.0
S006,sphere_006,20.00445,16.722118,289.0,1,1,0.0,10.0
S007,sphere_007,101.020117,40.204917,289.0,1,1,0.0,10.0
S008,sphere_008,120.286815,-6.498177,289.0,1,1,0.0,10.0
S009,sphere_009,62.278,-33.060381,289.0,1,1,0.0,10.0
S010,sphere_010,113.001613,6.267447,289.0,1,1,0.0,10.0
S011,sphere_011,5.285824,40.939545,289.0,1,1,0.0,10.0
S012,sphere_012,134.014166,-16.914724,289.0,1,1,0.0,10.0
S013,sphere_013,55.300644,70.287342,289.0,1,1,0.0,10.0
S014,sphere_014,216.302547,51.835717,289.0,1,1,0.0,10.0
S015,sphere_015,43.08212,33.832507,289.0,1,1,0.0,10.0
S016,sphere_016,131.37097,-37.641769,289.0,1,1,0.0,10.0
S017,sphere_017,111.946144,21.475165,289.0,1,1,0.0,10.0
S018,sphere_018,247.559418,29.309321,289.0,1,1,0.0,10.0
S019,sphere_019,139.62301,-20.386383,289.0,1,1,0.0,10.0
S020,sphere_020,230.719908,-15.015514,289.0,1,1,0.0,10.0
S021,sphere_021,3.861952,-3.490806,289.0,1,1,0.0,10.0
S022,sphere_022,75.260757,-38.393384,289.0,1,1,0.0,10.0
S023,sphere_023,189.031789,-47.74479,289.0,1,1,0.0,10.0
S024,sphere_024,58.95047,-2.785107,289.0,1,1,0.0,10.0
S025,sphere_025,59.726472,-33.105427,289.0,1,1,0.0,10.0
S026,sphere_026,200.148994,41.709673,289.0,1,1,0.0,10.0
S027,sphere_027,50.97452,41.645481,289.0,1,1,0.0,10.0
S028,sphere_028,161.368421,37.555434,289.0,1,1,0.0,10.0
S029,sphere_029,141.326178,-13.005421,289.0,1,1,0.0,10.0
S030,sphere_030,28.817742,-25.045876,289.0,1,1,0.0,10.0
S031,sphere_031,156.16045,-46.095366,289.0,1,1,0.0,10.0
S032,sphere_032,168.957696,-36.883048,289.0,1,1,0.0,10.0
S033,sphere_033,65.133595,35.01905,289.0,1,1,0.0,10.0
S034,sphere_034,16.073672,24.225614,289.0,1,1,0.0,10.0
