unique_id,target,ra,dec,exptime,n_exp,n_intra_max,tau_intra,priority
S000,sphere_000,108.693861,33.223892,368.8,1,1,0.0,10.0
S001,sphere_001,39.811828,23.249514,368.8,1,1,0.0,10.0
S002,sphere_002,102.207038,31.485274,368.8,1,1,0.0,10.0
S003,sphere_003,359.677703,-5.694724,368.8,1,1,0.0,10.0
S004,sphere_004,239.646505,-14.975379,368.8,1,1,0.0,10.0
S005,sphere_005,234.045006,58.597711,368.8,1,1,0.0,10.0
S006,sphere_006,32.558662,16.722118,368.8,1,1,0.0,10.0
S007,sphere_007,10.439821,-6.498177,368.8,1,1,0.0,10.0
S008,sphere_008,86.698101,-33.060381,368.8,1,1,0.0,10.0
S009,sphere_009,51.487875,6.267447,368.8,1,1,0.0,10.0
S010,sphere_010,71.353522,40.939545,368.8,1,1,0.0,10.0
S011,sphere_011,236.256854,31.076058,368.8,1,1,0.0,10.0
S012,sphere_012,13.018576,-16.914724,368.8,1,1,0.0,10.0
S013,sphere_013,1.95474,70.287342,368.8,1,1,0.0,10.0
S014,sphere_014,18.59685,51.835717,368.8,1,1,0.0,10.0
S015,sphere_015,218.133064,33.832507,368.8,1,1,0.0,10.0
S016,sphere_016,85.879015,-3.816313,368.8,1,1,0.0,10.0
S017,sphere_017,14.454468,-3.490806,368.8,1,1,0.0,10.0
S018,sphere_018,72.64156,-38.393384,368.8,1,1,0.0,10.0
S019,sphere_019,44.972525,-47.74479,368.8,1,1,0.0,10.0
S020,sphere_020,181.631156,-2.785107,368.8,1,1,0.0,10.0
S021,sphere_021,226.804264,19.854211,368.8,1,1,0.0,10.0
S022,sphere_022,55.876677,41.709673,368.8,1,1,0.0,10.0
S023,sphere_023,69.494937,-22.040799,368.8,1,1,0.0,10.0
S024,sphere_024,97.47315,41.645481,368.8,1,1,0.0,10.0
S025,sphere_025,255.565691,37.555434,368.8,1,1,0.0,10.0
S026,sphere_026,220.155698,-25.045876,368.8,1,1,0.0,10.0
S027,sphere_027,19.620113,21.407029,368.8,1,1,0.0,10.0
S028,sphere_028,221.871229,-46.095366,368.8,1,1,0.0,10.0
S029,sphere_029,255.448183,35.01905,368.8,1,1,0.0,10.0
S030,sphere_030,62.326025,19.250672,368.8,1,1,0.0,10.0
S031,sphere_031,33.019562,24.225614,368.8,1,1,0.0,10.0
S032,sphere_032,66.071962,34.156693,368.8,1,1,0.0,10.0
S033,sphere_033,165.081831,7.902189,368.8,1,1,0.0,10.0
S034,sphere_034,206.068734,19.682393,368.8,1,1,0.0,10.0
S035,sphere_035,52.246892,-3.313978,368.8,1,1,0.0,10.0
S036,sphere_036,108.483348,32.0053,368.8,1,1,0.0,10.0
S037,sphere_037,208.086198,15.630746,368.8,1,1,0.0,10.0
S038,sphere_038,251.91934,6.151559,368.8,1,1,0.0,10.0
S039,sphere_039,233.723936,6.800597,368.8,1,1,0.0,10.0
S040,sphere_040,183.006986,-7.271154,368.8,1,1,0.0,10.0
S041,sphere_041,145.452381,-34.80817,368.8,1,1,0.0,10.0
S042,sphere_042,170.700743,-10.541212,368.8,1,1,0.0,10.0
S043,sphere_043,42.918309,44.975645,368.8,1,1,0.0,10.0
S044,sphere_044,48.27406,-32.148876,368.8,1,1,0.0,10.0
S045,sphere_045,109.693657,-25.927419,368.8,1,1,0.0,10.0
S046,sphere_046,154.045157,-24.381634,368.8,1,1,0.0,10.0
S047,sphere_047,219.955517,18.894889,368.8,1,1,0.0,10.0
S048,sphere_048,228.466482,6.549659,368.8,1,1,0.0,10.0
S049,sphere_049,148.251923,34.596706,368.8,1,1,0.0,10.0
S050,sphere_050,147.161919,19.185466,368.8,1,1,0.0,10.0
S051,sphere_051,78.34627,-10.790957,368.8,1,1,0.0,10.0
S052,sphere_052,211.790249,38.905722,368.8,1,1,0.0,10.0
S053,sphere_053,114.134728,-41.763249,368.8,1,1,0.0,10.0
S054,sphere_054,170.687763,26.405343,368.8,1,1,0.0,10.0
S055,sphere_055,81.213433,-4.372791,368.8,1,1,0.0,10.0
S056,sphere_056,206.084856,-42.645199,368.8,1,1,0.0,10.0
S057,sphere_057,203.677884,0.119722,368.8,1,1,0.0,10.0
S058,sphere_058,233.261454,23.118915,368.8,1,1,0.0,10.0
S059,sphere_059,234.8759,-6.182024,368.8,1,1,0.0,10.0
