program_code,target,unique_id,ra,dec,exptime,maxtime,n_exp,n_inter_max,tau_inter,n_intra_max,n_intra_min,tau_intra,minimum_elevation,minimum_moon_separation,priority,bucket,timing_class,az_mid,alt_mid,frac_first,frac_last
ADV_S,adv_s_00,ADV000,143.0,-20.0,600,600,1,1,1,1,1,0.0,18,0,10,S,set,236.9,22.6,0.0,0.076
ADV_S,adv_s_01,ADV001,146.0,-18.92857,600,600,1,1,1,1,1,0.0,18,0,10,S,set,237.2,24.1,0.0,0.105
ADV_S,adv_s_02,ADV002,149.0,-17.85714,600,600,1,1,1,1,1,0.0,18,0,10,S,set,237.6,25.5,0.0,0.133
ADV_S,adv_s_03,ADV003,152.0,-16.78571,600,600,1,1,1,1,1,0.0,18,0,10,S,set,237.9,27.0,0.0,0.162
ADV_S,adv_s_04,ADV004,156.0,-15.71429,600,600,1,1,1,1,1,0.0,18,0,10,S,set,237.7,29.3,0.0,0.19
ADV_S,adv_s_05,ADV005,159.0,-14.64286,600,600,1,1,1,1,1,0.0,18,0,10,S,set,238.0,30.7,0.0,0.219
ADV_S,adv_s_06,ADV006,162.0,-13.57143,600,600,1,1,1,1,1,0.0,18,0,10,S,set,238.3,32.2,0.0,0.248
ADV_S,adv_s_07,ADV007,341.0,-12.5,600,600,1,1,1,1,1,0.0,18,0,10,S,rise,134.5,46.0,0.752,1.0
ADV_S,adv_s_08,ADV008,345.0,-11.42857,600,600,1,1,1,1,1,0.0,18,0,10,S,rise,131.4,45.3,0.781,1.0
ADV_S,adv_s_09,ADV009,351.0,-10.35714,600,600,1,1,1,1,1,0.0,18,0,10,S,rise,127.1,43.5,0.819,1.0
ADV_S,adv_s_10,ADV010,355.0,-9.28571,600,600,1,1,1,1,1,0.0,18,0,10,S,rise,124.2,42.6,0.848,1.0
ADV_S,adv_s_11,ADV011,1.0,-8.21429,600,600,1,1,1,1,1,0.0,18,0,10,S,rise,120.3,40.5,0.886,1.0
ADV_S,adv_s_12,ADV012,6.0,-7.14286,600,600,1,1,1,1,1,0.0,18,0,10,S,rise,116.9,38.6,0.914,1.0
ADV_S,adv_s_13,ADV013,11.0,-6.07143,600,600,1,1,1,1,1,0.0,18,0,10,S,rise,114.2,37.0,0.952,1.0
ADV_S,adv_s_14,ADV014,186.0,-5.0,600,600,1,1,1,1,1,0.0,18,0,10,S,mid,240.1,45.2,0.0,0.457
ADV_S,adv_s_15,ADV015,190.0,-3.92857,600,600,1,1,1,1,1,0.0,18,0,10,S,mid,239.6,47.5,0.0,0.486
ADV_S,adv_s_16,ADV016,201.0,-2.85714,600,600,1,1,1,1,1,0.0,18,0,10,S,mid,236.1,52.3,0.0,0.571
ADV_S,adv_s_17,ADV017,212.0,-1.78571,600,600,1,1,1,1,1,0.0,18,0,10,S,mid,231.6,57.0,0.0,0.657
