program_code,target,unique_id,ra,dec,exptime,maxtime,n_exp,n_inter_max,tau_inter,n_intra_max,n_intra_min,tau_intra,minimum_elevation,minimum_moon_separation,priority,bucket,timing_class,az_mid,alt_mid,frac_first,frac_last
ADV_S,adv_s_00,ADV000,161.0,-40.0,600,600,1,1,1,1,1,0.0,18,0,10,S,set,209.7,20.6,0.0,0.076
ADV_S,adv_s_01,ADV001,164.0,-39.28571,600,600,1,1,1,1,1,0.0,18,0,10,S,set,209.5,21.7,0.0,0.105
ADV_S,adv_s_02,ADV002,167.0,-38.57143,600,600,1,1,1,1,1,0.0,18,0,10,S,set,209.2,22.8,0.0,0.133
ADV_S,adv_s_03,ADV003,170.0,-37.85714,600,600,1,1,1,1,1,0.0,18,0,10,S,set,208.9,23.9,0.0,0.162
ADV_S,adv_s_04,ADV004,173.0,-37.14286,600,600,1,1,1,1,1,0.0,18,0,10,S,set,208.6,25.0,0.0,0.19
ADV_S,adv_s_05,ADV005,176.0,-36.42857,600,600,1,1,1,1,1,0.0,18,0,10,S,set,208.2,26.0,0.0,0.219
ADV_S,adv_s_06,ADV006,179.0,-35.71429,600,600,1,1,1,1,1,0.0,18,0,10,S,set,207.8,27.1,0.0,0.248
ADV_S,adv_s_07,ADV007,331.0,-35.0,600,600,1,1,1,1,1,0.0,18,0,10,S,rise,160.2,31.9,0.752,1.0
ADV_S,adv_s_08,ADV008,334.0,-34.28571,600,600,1,1,1,1,1,0.0,18,0,10,S,rise,158.9,32.2,0.781,1.0
ADV_S,adv_s_09,ADV009,339.0,-33.57143,600,600,1,1,1,1,1,0.0,18,0,10,S,rise,156.4,32.0,0.819,1.0
ADV_S,adv_s_10,ADV010,342.0,-32.85714,600,600,1,1,1,1,1,0.0,18,0,10,S,rise,155.0,32.2,0.848,1.0
ADV_S,adv_s_11,ADV011,346.0,-32.14286,600,600,1,1,1,1,1,0.0,18,0,10,S,rise,153.4,32.3,0.886,1.0
ADV_S,adv_s_12,ADV012,350.0,-31.42857,600,600,1,1,1,1,1,0.0,18,0,10,S,rise,151.1,32.0,0.914,1.0
ADV_S,adv_s_13,ADV013,354.0,-30.71429,600,600,1,1,1,1,1,0.0,18,0,10,S,rise,149.5,31.9,0.952,1.0
ADV_S,adv_s_14,ADV014,201.0,-30.0,600,600,1,1,1,1,1,0.0,18,0,10,S,mid,204.3,35.4,0.0,0.457
ADV_S,adv_s_15,ADV015,204.0,-29.28571,600,600,1,1,1,1,1,0.0,18,0,10,S,mid,203.6,36.5,0.0,0.486
ADV_S,adv_s_16,ADV016,215.0,-28.57143,600,600,1,1,1,1,1,0.0,18,0,10,S,mid,198.6,38.9,0.0,0.571
ADV_S,adv_s_17,ADV017,226.0,-27.85714,600,600,1,1,1,1,1,0.0,18,0,10,S,mid,193.8,40.9,0.01,0.657
ADV_S,adv_s_18,ADV018,231.0,-27.14286,600,600,1,1,1,1,1,0.0,18,0,10,S,mid,194.2,41.5,0.048,0.695
ADV_S,adv_s_19,ADV019,236.0,-26.42857,600,600,1,1,1,1,1,0.0,18,0,10,S,mid,194.6,42.2,0.076,0.743
ADV_S,adv_s_20,ADV020,243.0,-25.71429,600,600,1,1,1,1,1,0.0,18,0,10,S,mid,194.1,43.1,0.114,0.8
ADV_S,adv_s_21,ADV021,249.0,-25.0,600,600,1,1,1,1,1,0.0,18,0,10,S,mid,194.0,43.8,0.152,0.848
ADV_S,adv_s_22,ADV022,255.0,-24.28571,600,600,1,1,1,1,1,0.0,18,0,10,S,mid,194.0,44.6,0.19,0.895
ADV_S,adv_s_23,ADV023,261.0,-23.57143,600,600,1,1,1,1,1,0.0,18,0,10,S,mid,193.9,45.4,0.229,0.943
ADV_S,adv_s_24,ADV024,267.0,-22.85714,600,600,1,1,1,1,1,0.0,18,0,10,S,mid,193.8,46.1,0.267,0.99
ADV_S,adv_s_25,ADV025,277.0,-22.14286,600,600,1,1,1,1,1,0.0,18,0,10,S,mid,188.4,47.6,0.343,1.0
ADV_S,adv_s_26,ADV026,290.0,-21.42857,600,600,1,1,1,1,1,0.0,18,0,10,S,mid,178.3,48.8,0.429,1.0
ADV_S,adv_s_27,ADV027,302.0,-20.71429,600,600,1,1,1,1,1,0.0,18,0,10,S,mid,169.4,48.9,0.514,1.0
ADV_S,adv_s_28,ADV028,306.0,-20.0,600,600,1,1,1,1,1,0.0,18,0,10,S,mid,166.2,49.2,0.543,1.0
ADV_N,adv_n_00,ADV029,121.0,40.0,600,600,1,1,1,1,1,0.0,18,0,10,N,set,306.1,22.1,0.0,0.076
ADV_N,adv_n_01,ADV030,125.0,40.71429,600,600,1,1,1,1,1,0.0,18,0,10,N,set,306.7,23.8,0.0,0.105
ADV_N,adv_n_02,ADV031,128.0,41.42857,600,600,1,1,1,1,1,0.0,18,0,10,N,set,307.4,24.7,0.0,0.133
ADV_N,adv_n_03,ADV032,132.0,42.14286,600,600,1,1,1,1,1,0.0,18,0,10,N,set,308.0,26.3,0.0,0.162
ADV_N,adv_n_04,ADV033,136.0,42.85714,600,600,1,1,1,1,1,0.0,18,0,10,N,set,308.7,27.9,0.0,0.19
ADV_N,adv_n_05,ADV034,139.0,43.57143,600,600,1,1,1,1,1,0.0,18,0,10,N,set,309.5,28.7,0.0,0.219
ADV_N,adv_n_06,ADV035,143.0,44.28571,600,600,1,1,1,1,1,0.0,18,0,10,N,set,310.3,30.2,0.0,0.248
ADV_N,adv_n_07,ADV036,356.0,45.0,600,600,1,1,1,1,1,0.0,18,0,10,N,rise,45.2,44.9,0.752,1.0
ADV_N,adv_n_08,ADV037,0.0,45.71429,600,600,1,1,1,1,1,0.0,18,0,10,N,rise,44.9,43.3,0.781,1.0
ADV_N,adv_n_09,ADV038,4.0,46.42857,600,600,1,1,1,1,1,0.0,18,0,10,N,rise,44.4,42.1,0.819,1.0
ADV_N,adv_n_10,ADV039,8.0,47.14286,600,600,1,1,1,1,1,0.0,18,0,10,N,rise,44.0,40.5,0.848,1.0
ADV_N,adv_n_11,ADV040,13.0,47.85714,600,600,1,1,1,1,1,0.0,18,0,10,N,rise,43.7,38.8,0.886,1.0
ADV_N,adv_n_12,ADV041,17.0,48.57143,600,600,1,1,1,1,1,0.0,18,0,10,N,rise,43.2,37.2,0.914,1.0
ADV_N,adv_n_13,ADV042,21.0,49.28571,600,600,1,1,1,1,1,0.0,18,0,10,N,rise,42.6,36.1,0.952,1.0
ADV_N,adv_n_14,ADV043,170.0,50.0,600,600,1,1,1,1,1,0.0,18,0,10,N,mid,318.6,38.1,0.0,0.457
ADV_N,adv_n_15,ADV044,173.0,50.71429,600,600,1,1,1,1,1,0.0,18,0,10,N,mid,319.7,38.6,0.0,0.486
ADV_N,adv_n_16,ADV045,185.0,51.42857,600,600,1,1,1,1,1,0.0,18,0,10,N,mid,322.3,42.0,0.0,0.571
ADV_N,adv_n_17,ADV046,196.0,52.14286,600,600,1,1,1,1,1,0.0,18,0,10,N,mid,325.2,44.6,0.0,0.657
ADV_N,adv_n_18,ADV047,207.0,52.85714,600,600,1,1,1,1,1,0.0,18,0,10,N,mid,328.5,46.9,0.0,0.743
ADV_N,adv_n_19,ADV048,219.0,53.57143,600,600,1,1,1,1,1,0.0,18,0,10,N,mid,333.0,49.3,0.0,0.829
ADV_N,adv_n_20,ADV049,230.0,54.28571,600,600,1,1,1,1,1,0.0,18,0,10,N,mid,337.3,50.9,0.0,0.914
ADV_N,adv_n_21,ADV050,241.0,55.0,600,600,1,1,1,1,1,0.0,18,0,10,N,mid,342.0,52.0,0.0,1.0
ADV_N,adv_n_22,ADV051,264.0,55.71429,600,600,1,1,1,1,1,0.0,18,0,10,N,mid,357.9,54.1,0.086,1.0
ADV_N,adv_n_23,ADV052,275.0,56.42857,600,600,1,1,1,1,1,0.0,18,0,10,N,mid,2.9,53.3,0.171,1.0
ADV_N,adv_n_24,ADV053,286.0,57.14286,600,600,1,1,1,1,1,0.0,18,0,10,N,mid,7.4,52.1,0.257,1.0
ADV_N,adv_n_25,ADV054,297.0,57.85714,600,600,1,1,1,1,1,0.0,18,0,10,N,mid,11.4,50.6,0.343,1.0
ADV_N,adv_n_26,ADV055,308.0,58.57143,600,600,1,1,1,1,1,0.0,18,0,10,N,mid,14.9,48.8,0.429,1.0
ADV_N,adv_n_27,ADV056,319.0,59.28571,600,600,1,1,1,1,1,0.0,18,0,10,N,mid,17.8,46.8,0.514,1.0
ADV_N,adv_n_28,ADV057,322.0,60.0,600,600,1,1,1,1,1,0.0,18,0,10,N,mid,17.8,45.9,0.543,1.0
